AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,PM2.5,RH,SO2
16,1.9,0.41,0.13,0,14,14,72,46.9,85,3.4
16,1.9,0.41,0.2,0.2,18,19,67,44.3,85,4.8
16,1.9,0.47,0.18,0,20,20,57,56,85,4.9
16,1.9,0.47,0.13,0,19,19,60,46.9,85,4.7
16,1.9,0.47,0.13,0.2,19,19,58,52.1,84,5.2
17,1.8,0.44,0.11,1.1,13,14,69,45.6,83,2.6
17,1.8,0.32,0.08,0.8,9.3,10,69,57.3,82,1.9
17,1.8,0.29,0.14,0.6,7.5,8.1,66,44.3,83,1.9
17,1.8,0.31,0.08,0.8,8.3,9.1,57,44.3,82,1.8
19,1.8,0.34,0.08,2,8.7,11,54,39.1,75,1.8
20,1.8,0.35,0.06,2.5,8.9,11,57,59.9,69,1.9
22,1.8,0.34,0.08,1.9,9.4,11,66,58.6,65,2.5
22,1.8,0.28,0.09,0.6,6.8,7.4,64,59.9,65,2.6
22,1.8,0.29,0.06,0.8,8,8.8,67,45.6,67,2.3
20,1.8,0.27,0.05,0.5,6.6,7.1,58,37.8,70,1.9
19,1.8,0.27,0.07,0.1,7.2,7.3,54,27.4,74,1.8
18,1.8,0.27,0.05,-0.2,7.6,7.4,46,23.5,79,1.7
18,1.8,0.3,0.07,-0.1,9.2,9.1,41,15.7,80,2.2
17,1.8,0.36,0.08,0,14,14,47,40.4,82,3.9
16,1.8,0.38,0.08,0.3,16,17,51,46.9,83,4.9
16,1.8,0.38,0.17,0.4,19,20,53,65.1,84,5.5
16,1.9,0.38,0.13,0,16,16,46,52.1,84,4.3
16,1.8,0.34,0.1,0.1,15,15,51,46.9,85,3.3
16,1.9,0.32,0.1,0.2,15,15,54,45.6,86,1.3
16,1.9,0.33,0.1,0.2,12,12,55,44.3,86,1.4
16,1.9,0.33,0.1,-0.2,13,13,52,48.2,86,1.2
15,1.9,0.35,0.11,-0.2,13,13,54,48.2,86,1.2
15,1.9,0.38,0.15,0.2,19,19,61,54.7,87,1.9
15,2,0.46,0.16,2.6,22,25,61,57.3,87,1.9
16,2,0.49,0.2,11,19,30,71,62.5,86,3.1
17,2,0.47,0.17,8.6,15,23,63,59.9,80,3
19,1.9,0.4,0.14,6.8,14,21,59,57.3,73,3.3
21,1.9,0.36,0.13,3.5,12,15,42,52.1,67,2.3
23,1.8,0.34,0.09,1.7,9.8,11,48,43,62,2.2
24,1.8,0.33,0.05,0.7,8,8.7,58,33.9,57,2.4
25,1.8,0.31,0.04,0.6,8.6,9.2,68,31.3,61,3.9
25,1.7,0.27,0.04,0.3,9,9.3,70,45.6,63,3.3
24,1.8,0.26,0.05,0.3,9.3,9.6,68,45.6,64,2.9
24,1.8,0.27,0.05,0.3,9.3,9.6,69,36.5,66,2.5
22,1.8,0.28,0.07,0.2,11,11,71,28.7,72,2.4
21,1.8,0.28,0.08,-0.2,12,12,73,36.5,76,2.4
20,1.8,0.31,0.08,-0.2,12,12,71,37.8,77,2.3
20,1.8,0.31,0.14,-0.1,12,12,68,43,78,2.7
19,1.8,0.31,0.21,0,14,14,68,37.8,79,2.3
19,1.9,0.32,0.19,0,15,15,69,46.9,80,2.2
19,1.9,0.27,0.06,0,8.9,8.9,63,41.7,81,2.1
19,1.9,0.24,0.05,0,7.5,7.6,55,46.9,83,2.8
18,1.9,0.24,0.05,0.1,6.2,6.2,55,41.7,84,2.7
18,1.9,0.26,0.08,0.1,7.4,7.5,61,39.1,85,3
18,2,0.27,0.05,0,11,11,73,37.8,86,2.8
18,2,0.29,0.09,0,12,12,77,41.7,87,2.6
17,2,0.29,0.07,-0.2,9,8.8,77,48.2,88,2.6
17,1.9,0.39,0.1,0.5,13,13,73,45.6,86,3.8
18,1.9,0.44,0.13,3,16,19,65,44.3,83,3.9
19,1.8,0.43,0.12,5.5,15,21,66,43,76,4.3
21,1.8,0.33,0.08,3.4,11,14,57,41.7,66,3.1
23,1.8,0.32,0.08,2.3,10,13,62,31.3,61,2.7
24,1.8,0.34,0.07,2.51,9.98,12.46,67,30,58,2.6
24,1.8,0.4,0.06,1,9.7,11,98,50.8,54,3.7
25,1.8,0.35,0.06,0.4,7.3,7.6,139,61.2,49,3
24,1.8,0.33,0.06,0.2,6.6,6.8,195,74.2,48,2.5
24,1.8,0.32,0.06,0.4,6,6.4,213,66.4,45,1.9
23,1.8,0.35,0.06,0,6.3,6.4,202,70.3,45,2
21,1.8,0.43,0.07,0.1,8.7,8.8,171,72.9,53,2.2
19,1.8,0.48,0.09,0,11,11,166,79.4,61,2.7
18,1.8,0.5,0.1,0,12,12,166,84.6,64,3
17,1.9,0.51,0.1,-0.1,12,12,166,95,67,3.2
17,1.9,0.49,0.1,-0.2,12,11,151,101.5,67,3
16,1.8,0.43,0.09,-0.2,10,10,141,104.1,68,2.8
16,1.8,0.4,0.1,-0.1,10,10,132,85.9,69,2.6
15,1.9,0.41,0.08,-0.1,13,13,120,74.2,67,3.2
15,1.9,0.44,0.1,0,15,15,103,66.4,63,4
14,1.9,0.48,0.09,0.1,15,15,84,65.1,61,4.2
14,1.9,0.49,0.11,0.3,21,21,79,59.9,64,5.5
14,1.9,0.51,0.07,0.3,22,22,82,57.3,65,7
13,1.9,0.59,0.09,0.4,30,31,83,62.5,66,8.8
13,1.9,0.69,0.11,2.3,29,32,83,62.5,69,7.8
14,1.9,0.68,0.14,8.9,27,36,83,70.3,68,5.8
15,2,0.62,0.15,14,27,41,92,67.7,65,6.7
18,2,0.67,0.2,14,28,42,102,83.3,60,7.5
20,2,0.84,0.36,9.4,34,44,124,87.2,52,7.4
22,1.9,0.64,0.22,4.6,24,29,137,102.8,47,5.9
22,1.8,0.44,0.1,1.4,12,13,141,89.8,46,3.9
23,1.8,0.34,0.06,0.6,8.4,9,121,76.8,41,3.3
23,1.8,0.33,0.07,0.7,10,11,106,53.4,42,3.9
23,1.8,0.34,0.07,0.5,11,12,108,54.7,46,4.3
22,1.8,0.34,0.12,0.4,15,15,114,52.1,56,4.8
21,1.8,0.39,0.14,0.3,18,18,111,58.6,60,5.3
20,1.8,0.45,0.17,0.2,21,22,107,52.1,64,4.3
19,1.9,0.44,0.21,0.2,16,17,111,62.5,63,2.9
18,1.9,0.44,0.25,0.2,15,16,128,56,67,2.8
18,1.9,0.45,0.31,0.2,15,15,125,65.1,69,2.8
18,2,0.46,0.27,0.3,16,16,120,56,71,3.1
17,2,0.5,0.25,0.4,18,18,107,61.2,73,2.9
17,2,0.45,0.3,0.4,17,18,101,65.1,75,3.9
16,2.1,0.42,0.18,0.2,15,15,98,66.4,78,3.1
16,2.1,0.39,0.19,0.2,14,14,90,76.8,79,2.2
15,2.2,0.41,0.21,1.2,29,30,90,59.9,81,2.3
15,2.3,0.46,0.25,5.4,33,39,84,70.3,82,2.6
15,2.4,0.53,0.28,11,31,42,94,52.1,82,3.2
15,2.4,0.6,0.38,21,26,47,95,67.7,83,2.6
16,2.6,0.94,0.49,45,27,72,103,76.8,82,4.2
17,2.4,0.87,0.36,28,31,59,118,102.8,76,5.1
19,2,0.58,0.24,5.8,22,28,132,113.2,66,5.4
21,1.9,0.48,0.15,2,14,16,150,114.5,57,4.9
22,1.8,0.39,0.12,2.49,14.5,17.2,135,101.5,52,5.3
23,1.8,0.32,0.08,2.38,13.19,15.5,118,83.3,50,4.7
23,1.7,0.23,0.04,0.2,7.3,7.4,81,62.5,53,2.4
23,1.7,0.2,0.05,0.2,6.4,6.6,63,46.9,53,2.1
22,1.7,0.2,0.05,0.2,5.8,6,57,39.1,53,2.1
21,1.7,0.24,0.07,0.2,6.8,7,62,40.4,61,1.7
20,1.7,0.3,0.12,0.1,9.6,9.7,62,44.3,65,1.7
19,1.8,0.37,0.13,0,12,12,71,57.3,70,1.9
18,1.8,0.39,0.13,0,14,14,79,58.6,75,1.7
18,1.8,0.41,0.25,0,16,16,84,65.1,77,2.2
18,1.9,0.41,0.19,0.1,16,16,77,59.9,77,2.4
17,1.9,0.41,0.25,0.3,22,22,80,57.3,78,2.1
17,1.9,0.39,0.31,0.3,21,21,82,59.9,80,2.4
17,2.1,0.4,0.28,0.2,20,20,87,62.5,83,2.1
16,2.1,0.36,0.23,0.3,20,20,83,67.7,85,2.9
16,2.1,0.34,0.17,0.4,26,26,90,70.3,87,2.5
16,2.3,0.45,0.19,1.3,24,25,86,71.6,87,2.9
15,2.3,0.43,0.23,1.4,22,24,95,70.3,87,2.7
15,2.6,0.44,0.26,2.3,24,26,93,65.1,88,2.5
14,2.5,0.54,0.22,11,25,36,95,69,90,2.2
15,2.5,0.75,0.27,21,22,43,101,71.6,91,2.3
16,2.2,0.73,0.28,26,26,51,100,88.5,88,2.7
19,2,0.51,0.2,15,27,42,110,100.2,72,4
22,1.8,0.36,0.11,6.3,17,23,98,89.8,53,2.8
23,1.8,0.34,0.07,2.3,13,15,90,74.2,47,3.3
24,1.8,0.33,0.08,1.9,12,14,75,59.9,46,3.5
25,1.8,0.3,0.06,0.9,7.1,8,67,65.1,47,2.8
24,1.8,0.3,0.07,0.8,9.2,9.9,71,70.3,52,3.5
23,1.7,0.28,0.06,0.6,9,9.7,73,53.4,60,3.1
22,1.7,0.3,0.07,0.7,9.6,10,76,52.1,61,3.2
22,1.7,0.34,0.12,0.8,14,14,73,44.3,61,3.9
22,1.8,0.4,0.15,0.6,16,17,70,72.9,63,3.2
21,1.8,0.4,0.14,0.8,16,16,76,74.2,65,3.1
21,1.9,0.5,0.21,0.8,20,21,80,76.8,65,3.8
20,1.9,0.53,0.3,0.8,26,27,84,74.2,65,3.9
20,2,0.5,0.33,0.9,27,28,83,83.3,67,4.3
20,2.1,0.47,0.4,0.8,24,25,91,89.8,70,4.8
20,2.1,0.5,0.27,0.9,31,32,98,76.8,71,4.5
20,2.2,0.5,0.23,1.1,30,31,106,79.4,72,4.5
19,2.3,0.5,0.24,0.9,25,26,105,74.2,73,3.4
19,2.4,0.49,0.25,1.2,23,24,104,97.6,75,3.3
19,2.6,0.47,0.26,1.9,29,31,103,98.9,78,3.2
19,2.4,0.46,0.29,2.2,25,27,104,111.9,77,3.7
18,2.4,0.55,0.28,7,27,34,107,108,78,4.1
19,2.5,0.75,0.35,15,27,43,110,97.6,77,3.4
21,2.3,0.58,0.39,9.1,25,34,106,85.9,68,5.3
22,2,0.46,0.2,8,23,31,96,72.9,60,6.1
24,1.9,0.42,0.15,6.6,21,28,88,75.5,56,6.8
25,1.8,0.42,0.18,4.3,18,22,81,61.2,53,5.9
26,1.7,0.35,0.1,3,14,17,77,57.3,51,4.8
25,1.7,0.33,0.15,2.9,16,19,65,43,51,5.9
25,1.7,0.32,0.15,1.7,11,13,59,43,51,3.8
25,1.7,0.29,0.22,1.2,13,14,60,41.7,53,3.6
25,1.7,0.32,0.19,1.3,14,15,65,58.6,55,4.2
25,1.7,0.33,0.18,0.9,13,14,69,59.9,58,3.5
24,1.8,0.35,0.22,0.6,16,17,61,48.2,63,2.5
23,1.8,0.32,0.2,0.6,13,13,54,30,63,2.2
23,1.8,0.36,0.26,0.7,15,16,47,26.1,65,2.3
22,1.9,0.4,0.27,1.1,19,20,47,32.6,68,2.8
21,1.9,0.39,0.41,1.1,26,27,56,41.7,69,4
21,2,0.44,0.26,2.7,30,32,56,33.9,70,5.1
21,2.1,0.45,0.22,3.5,30,34,55,44.3,72,4.3
20,2.2,0.48,0.25,4.6,29,34,56,40.4,75,3.5
20,2.2,0.48,0.35,6.5,27,33,57,53.4,76,3.4
20,2.4,0.52,0.39,9.3,29,39,70,52.1,78,3.3
19,2.3,0.53,0.33,7,29,36,68,59.9,79,3.6
19,2.3,0.52,0.32,11,28,38,80,67.7,79,3.8
19,2.4,0.54,0.28,17,26,43,81,79.4,81,3.5
20,2.4,0.7,0.33,27,29,56,82,82,79,5
22,2.1,0.64,0.32,17,29,46,82,75.5,71,5.5
24,2,0.57,0.27,8,25,33,73,74.2,63,5.1
26,2,0.5,0.24,5.4,24,29,71,80.7,57,3.8
28,1.8,0.34,0.13,2.61,11.58,14.17,67,83.3,54,3.2
28,1.7,0.31,0.09,2.11,10.22,12.21,70,66.4,56,3.6
28,1.7,0.26,0.09,2.09,10.27,12.31,62,59.9,52,3.6
28,1.7,0.25,0.1,2.08,9.54,11.54,57,52.1,54,4.1
27,1.7,0.24,0.1,0.1,8.2,8.3,48,48.2,56,3.9
27,1.7,0.27,0.12,-0.1,10,9.9,51,45.6,57,3.8
25,1.7,0.28,0.11,0.2,14,14,53,50.8,68,4.4
24,1.7,0.25,0.1,0,9.7,9.7,56,46.9,65,2.1
23,1.7,0.28,0.12,-0.3,8.4,8.2,56,54.7,69,2.4
23,1.8,0.33,0.13,-0.2,12,12,50,50.8,73,3
23,1.8,0.41,0.17,-0.1,22,22,64,66.4,73,5.2
23,1.9,0.55,0.22,0.1,26,26,59,61.2,71,3.9
23,1.9,0.5,0.19,0.2,24,24,68,67.7,72,4.7
23,2,0.45,0.21,0.3,22,23,66,59.9,73,3.1
23,2.1,0.53,0.31,0.6,27,27,75,62.5,74,2.5
22,2.1,0.34,0.15,0.2,13,13,77,72.9,78,2.2
22,2.1,0.3,0.17,0,9.1,9.2,78,79.4,79,2.2
21,2,0.3,0.15,-0.1,9.2,9.1,85,75.5,83,3.1
21,2.1,0.41,0.13,-0.1,12,12,88,80.7,83,5
21,2.1,0.35,0.16,0.2,13,13,85,84.6,85,3.4
21,2.1,0.44,0.16,1.5,14,15,87,97.6,83,3.6
23,2,0.42,0.12,5.3,18,24,89,93.7,78,5
25,1.8,0.34,0.08,3.4,11,15,77,76.8,66,4.2
26,1.8,0.31,0.07,1.5,9.2,11,64,69,57,3.6
27,1.7,0.3,0.06,0.7,6.4,7.1,48,45.6,52,3.7
28,1.7,0.25,0.05,0,5.2,5.1,53,50.8,47,2.8
29,1.7,0.23,0.05,-0.1,5.2,5.1,49,44.3,48,3.1
29,1.7,0.23,0.05,-0.2,5.9,5.7,53,44.3,47,2.9
28,1.7,0.24,0.05,-0.1,6.6,6.6,55,48.2,53,2.6
27,1.7,0.24,0.06,0.1,8,8,55,44.3,62,3.1
26,1.7,0.27,0.09,-0.2,10,9.9,60,41.7,67,3
24,1.7,0.31,0.13,-0.3,12,12,61,39.1,70,2.4
23,1.8,0.31,0.13,-0.2,14,13,57,41.7,72,3.1
23,1.8,0.35,0.13,-0.2,14,14,53,40.4,75,2.7
22,1.8,0.34,0.14,-0.3,16,15,48,37.8,80,2.9
22,1.9,0.3,0.1,-0.2,12,12,50,30,77,2
21,2,0.34,0.1,0.1,17,17,41,32.6,81,2.2
21,2.1,0.36,0.12,0.2,18,18,39,30,83,3.2
21,2.2,0.32,0.13,0.3,18,18,42,27.4,85,2.3
21,2.1,0.26,0.09,0.2,11,11,52,31.3,87,2.4
20,2,0.29,0.07,0.4,14,14,60,37.8,88,2.9
20,2.1,0.36,0.08,0.5,17,17,74,50.8,90,1.2
20,2,0.41,0.09,2.2,18,20,74,50.8,92,0.9
20,1.9,0.45,0.1,2.5,18,20,82,54.7,91,1
20,1.9,0.55,0.16,8.2,22,30,97,66.4,89,1.3
21,1.9,0.57,0.15,10,20,30,121,100.2,85,1.5
22,1.9,0.55,0.15,12,19,31,137,131.4,79,1.7
24,1.8,0.52,0.15,8.3,18,27,138,140.5,71,3.1
26,1.8,0.48,0.16,3.8,14,18,121,119.7,65,4.7
27,1.8,0.5,0.13,1.2,12,13,94,93.7,57,4.9
28,1.7,0.41,0.09,0.4,10,11,77,80.7,59,4.3
27,1.7,0.32,0.06,0.1,8.2,8.3,73,75.5,62,3.3
27,1.7,0.28,0.06,0,6.7,6.7,66,66.4,62,2.4
27,1.7,0.29,0.09,0,6.4,6.3,53,57.3,63,2.2
26,1.7,0.36,0.09,-0.1,8.1,8,44,43,66,2.7
24,1.7,0.36,0.1,-0.3,11,11,51,45.6,73,3
23,1.7,0.43,0.17,-0.2,12,12,59,44.3,76,2.1
23,1.8,0.45,0.16,0,15,15,67,54.7,76,3
23,1.9,0.45,0.29,-0.3,16,15,71,70.3,77,4.9
23,1.9,0.46,0.2,-0.1,13,13,77,85.9,78,3.8
23,1.9,0.54,0.25,0,16,16,84,85.9,80,2.9
22,2.1,0.56,0.27,0.3,22,22,85,89.8,82,2.9
22,2.1,0.45,0.23,0.1,25,25,95,83.3,84,3.8
22,2.2,0.45,0.25,0.3,24,24,90,93.7,84,3.2
22,2.4,0.44,0.52,1.9,25,27,99,88.5,85,3.1
22,2.6,0.41,0.45,0.6,21,21,98,97.6,85,2.7
22,2.7,0.42,0.3,5.7,23,28,109,93.7,86,2.5
22,2.5,0.61,0.45,19,23,41,110,93.7,86,5
23,2,1.15,0.6,21,29,50,112,85.9,81,8.6
24,1.8,1.04,0.58,11,31,42,101,98.9,75,7.4
26,1.7,0.7,0.29,1.9,17,19,86,89.8,68,4.5
27,1.7,0.53,0.17,3.1,19,22,77,89.8,65,10
27,1.7,0.41,0.1,0.9,9.9,11,68,70.3,64,6.3
27,1.7,0.41,0.1,0,9.5,9.5,72,67.7,65,5.3
28,1.7,0.32,0.08,0.4,12,13,56,54.7,67,6.6
28,1.6,0.26,0.09,1,12,13,51,37.8,65,4.3
28,1.6,0.26,0.09,1.2,10,11,43,33.9,64,4.4
27,1.6,0.35,0.13,1.3,13,14,43,28.7,65,5.1
27,1.6,0.38,0.17,1.2,14,15,46,33.9,63,2.8
27,1.7,0.48,0.3,0.4,15,16,38,23.5,65,2.3
26,1.7,0.46,0.21,0.3,17,18,29,17,69,4
26,1.7,0.47,0.2,-0.1,19,19,25,17,73,3.9
26,1.7,0.54,0.55,0.9,24,24,25,14.4,75,6.1
25,1.8,0.66,0.83,14,30,44,40,9.2,76,8.2
25,1.8,0.57,0.48,11,27,38,36,15.7,77,6.6
25,1.8,0.34,0.52,1.5,19,21,45,23.5,78,4.7
25,1.8,0.3,0.4,1.4,16,18,31,28.7,79,6.2
24,1.8,0.21,0.37,-0.1,11,11,35,22.2,80,4.2
24,1.8,0.23,0.41,1.1,15,17,32,18.3,81,3.4
23,1.9,0.23,0.23,0.6,14,15,39,13.1,82,4.4
23,1.8,0.27,0.31,1.4,13,15,42,17,79,3.1
23,1.9,0.45,0.54,9.5,19,28,39,28.7,79,3.1
24,1.8,0.84,0.52,13,21,34,47,40.4,74,5.3
25,1.8,0.9,0.53,9.6,26,35,55,52.1,71,5.6
26,1.8,0.82,0.39,25,28,53,64,48.2,71,4.5
26,1.9,0.76,0.39,27,37,64,71,57.3,73,5.9
26,1.8,0.48,0.27,12,23,35,69,62.5,76,7.5
25,1.8,0.32,0.18,3.2,13,16,67,65.1,79,3.7
26,1.9,0.29,0.13,3.3,11,14,45,50.8,77,2.8
24,1.8,0.31,0.17,3.3,15,18,43,37.8,80,3.4
22,1.8,0.37,0.14,1.6,14,15,46,39.1,80,2.4
22,1.8,0.38,0.15,1.7,17,18,54,40.4,77,3
21,1.9,0.53,0.19,1.3,27,29,61,39.1,77,4.7
20,1.9,0.53,0.18,0.6,26,27,56,31.3,78,3.8
19,1.9,0.43,0.19,0.4,22,22,61,32.6,79,2.6
19,1.9,0.45,0.19,0.3,22,22,46,39.1,79,2.3
19,1.9,0.44,0.22,0.7,23,24,49,43,80,2.5
19,1.9,0.44,0.19,0.2,18,18,43,45.6,81,2.3
18,1.9,0.42,0.13,0.1,12,12,53,43,83,2.4
18,1.9,0.36,0.1,-0.1,10,10,35,39.1,83,2.4
18,1.9,0.38,0.12,0.1,13,13,41,37.8,83,3.1
18,1.9,0.46,0.16,0,16,16,36,41.7,83,3.4
18,1.9,0.49,0.12,0.4,17,18,47,53.4,85,2.4
17,1.9,0.28,0.11,-0.2,9.4,9.2,43,43,85,1.2
17,1.8,0.28,0.09,-0.1,7.6,7.6,38,31.3,84,1.4
17,1.9,0.32,0.1,0.1,12,12,31,17,85,1.7
17,1.9,0.36,0.13,0.9,14,15,28,28.7,84,1.8
16,1.8,0.31,0.11,0.7,12,13,28,30,82,1.7
16,1.8,0.3,0.1,1.2,13,14,30,32.6,80,1.6
16,1.8,0.34,0.12,1.4,17,19,30,22.2,82,1.7
16,1.8,0.36,0.14,3.3,22,25,29,15.7,85,1.7
16,1.86,0.37,0.17,6.1,19,25,29.44,20.757,86,1.5
16,1.9,0.37,0.13,3.4,20.38,23.88,20,11.8,85,3.12
15,1.8,0.31,0.17,1.5,15,17,18,18.3,86,1.1
15,1.8,0.35,0.13,2,20,22,14,18.3,86,1.3
14,1.8,0.29,0.11,1.6,15,17,21,11.8,85,0.8
14,1.8,0.28,0.09,0.7,11,11,17,7.9,84,1.1
13,1.8,0.29,0.09,0.9,12,13,18,5.3,85,1.1
13,1.8,0.29,0.1,0.7,13,14,15,5.3,86,1.2
13,1.8,0.28,0.1,0.7,10,11,10,5.3,87,1
13,1.8,0.29,0.1,0.4,9.9,10,13,17,87,1
13,1.8,0.27,0.09,0.2,8.4,8.6,13,19.6,87,1.1
13,1.8,0.27,0.09,0.5,9.5,10,16,24.8,87,1.4
12,1.8,0.25,0.07,0.3,5.9,6.2,17,9.2,87,1.4
12,1.8,0.25,0.06,0.3,6.8,7.1,20,5.3,87,1.4
12,1.8,0.25,0.06,0.3,7.2,7.5,17,7.9,87,1.3
12,1.8,0.23,0.07,0.4,3.9,4.3,14,5.3,88,1.3
12,1.8,0.27,0.06,0.6,5.3,5.9,12,9.2,88,1.3
12,1.8,0.27,0.06,0.8,7,7.7,16,7.9,88,1.5
12,1.8,0.29,0.07,0.6,8.9,9.5,20,14.4,88,1.7
12,1.8,0.41,0.11,1.2,16,17,22,15.7,88,1.7
13,1.8,0.37,0.11,2.1,18,20,27,15.7,87,1.9
13,1.8,0.35,0.12,4.3,19,23,25,19.6,86,2.3
13,1.8,0.36,0.19,4.4,17,22,31,15.7,85,2.1
14,1.8,0.36,0.19,4.5,19,24,37,19.6,85,2.1
14,1.8,0.35,0.13,3.7,15,19,36,15.7,86,1.7
14,1.8,0.38,0.13,4.9,19,23,32,24.8,86,1.6
14,1.8,0.4,0.14,4.8,20,24,29,17,85,1.8
15,1.9,0.42,0.19,6.4,27,33,32,32.6,85,1.8
15,1.9,0.49,0.22,8.2,32,41,45,40.4,85,2.4
14,1.9,0.53,0.27,5.5,30,36,47,48.2,85,2
14,1.9,0.55,0.27,4.3,32,36,48,39.1,86,2
14,1.9,0.47,0.22,2.8,29,32,46,37.8,87,1.9
14,1.9,0.46,0.22,2.9,31,34,42,33.9,86,2.3
14,1.9,0.51,0.23,3.6,29,32,46,43,87,2.5
14,1.9,0.53,0.25,5.6,30,36,37,37.8,87,3
14,1.9,0.42,0.21,2.5,23,25,44,45.6,88,1.7
14,1.9,0.42,0.21,1.5,23,24,38,39.1,88,1.7
14,1.9,0.41,0.18,1.4,21,22,41,43,87,2
14,1.9,0.42,0.2,1.3,21,23,36,33.9,87,1.9
14,1.9,0.42,0.2,6,25,31,39,37.8,87,2.1
14,2,0.47,0.22,3.5,24,28,45,41.7,87,2.2
15,1.9,0.53,0.26,6,24,30,43,45.6,87,3.2
15,2,0.54,0.27,10,23,33,45,41.7,87,2.3
15,2,0.63,0.34,15,21,37,43,33.9,87,2.4
16,2,0.69,0.36,18,20,39,50,37.8,85,5.5
17,2,0.64,0.3,19,23,43,55,43,83,5.9
19,1.9,0.57,0.24,10,22,32,51,44.3,77,4
21,1.9,0.46,0.17,4.6,14,18,50,39.1,70,2.3
22,1.8,0.39,0.13,2.3,11,13,37,33.9,66,2.3
23,1.8,0.34,0.08,0.8,5.4,6.2,34,37.8,64,2.2
22,1.8,0.33,0.07,0.4,5.3,5.7,30,31.3,65,2
21,1.8,0.37,0.07,0.6,7.4,8,30,33.9,68,2.5
21,1.8,0.37,0.11,0.8,11,12,39,26.1,70,3.2
20,1.8,0.42,0.15,0.6,13,14,44,28.7,73,2.9
20,1.9,0.54,0.14,0.4,19,19,50,28.7,75,3.4
20,1.9,0.62,0.17,0.6,25,26,51,44.3,78,4
19,1.9,0.63,0.16,0.9,29,30,55,56,79,5.3
19,1.9,0.75,0.16,2.1,33,35,57,48.2,80,6.3
19,2,0.82,0.2,6.5,35,42,65,33.9,81,7
19,2,0.87,0.23,8.4,34,43,71,36.5,82,5.1
19,2.1,0.86,0.26,12,32,44,76,50.8,84,4.9
18,2.2,0.71,0.25,6.8,30,36,65,59.9,84,2.9
18,2,0.58,0.17,3.1,26,29,64,52.1,85,3.2
18,2,0.49,0.13,0.3,14,15,56,48.2,85,2.8
18,1.9,0.51,0.1,0.4,14,15,55,37.8,86,4.1
18,2,0.57,0.13,0.6,20,21,45,46.9,86,4.2
18,2,0.59,0.16,1.8,21,23,54,39.1,87,3.7
18,2,0.59,0.17,4.7,18,23,60,50.8,86,4.1
18,1.9,0.69,0.22,4.6,20,24,70,56,85,3.5
19,2.1,0.67,0.27,9.3,22,31,65,56,85,3.2
19,2,0.6,0.19,9.7,19,28,61,54.7,82,2.8
21,2,0.62,0.2,8.7,22,31,70,50.8,78,4.6
22,2,0.73,0.2,6.3,23,29,79,66.4,74,4.5
23,2,0.78,0.23,2.4,20,23,87,83.3,73,5
25,1.9,0.72,0.23,3.4,20,23,82,85.9,69,8.2
26,1.8,0.57,0.26,2,15,17,69,67.7,71,5.9
26,1.8,0.54,0.25,1.5,17,18,58,57.3,74,11
25,1.7,0.55,0.2,1.9,18,20,51,39.1,77,10
25,1.8,0.62,0.19,2.3,20,22,52,37.8,79,7.7
25,1.8,0.56,0.17,1.6,18,20,57,23.5,80,5.3
25,1.8,0.66,0.27,2.8,26,29,50,18.3,83,6.1
25,1.7,0.41,0.15,1.2,15,16,45,23.5,85,3.4
23,1.7,0.27,0.06,0.3,7.1,7.3,40,28.7,85,1.4
19,1.7,0.25,0.04,0.3,6.4,6.7,40,23.5,87,1.2
19,1.8,0.36,0.04,0.5,11,12,36,28.7,86,1.3
19,1.8,0.31,0.04,0.3,8.3,8.7,34,15.7,86,1.8
19,1.8,0.36,0.02,0.3,12,12,22,23.5,84,2.5
18,1.7,0.22,0.02,0.2,5.9,6.1,26,9.2,82,1.3
17,1.8,0.23,0.03,0,6.8,6.8,21,10.5,86,1.1
16,1.8,0.22,0.04,-0.2,5.3,5.1,24,7.9,87,1
16,1.8,0.27,0.06,0.1,6.7,6.8,20,13.1,88,0.9
16,1.8,0.4,0.09,0.9,14,15,18,11.8,87,1.4
16,1.8,0.38,0.09,1.5,15,17,20,18.3,85,1.4
16,1.8,0.33,0.14,0.8,9.4,10,17,17,83,1.4
17,1.8,0.35,0.12,0.8,9.7,10,24,18.3,79,1.5
17,1.8,0.38,0.1,1.7,14,15,21,17,76,2.2
18,1.8,0.39,0.11,2,14,16,29,23.5,74,2.2
18,1.8,0.38,0.1,2.4,13,16,36,31.3,73,2
18,1.8,0.42,0.12,1.8,15,17,49,30,74,2
18,1.8,0.45,0.15,2.1,21,24,54,31.3,75,2.7
17,1.8,0.44,0.18,1.2,22,23,50,31.3,74,2.3
17,1.8,0.53,0.21,1,26,27,52,40.4,75,2.6
17,1.8,0.52,0.2,0.5,25,25,60,46.9,77,2.2
16,1.8,0.42,0.17,0.4,17,18,65,52.1,78,1.8
16,1.8,0.4,0.17,0.2,13,13,71,50.8,81,1.5
16,1.9,0.41,0.17,0.3,16,16,68,48.2,83,1.7
15,1.9,0.4,0.2,0,16,16,66,53.4,85,1.6
15,1.9,0.41,0.18,0,17,17,63,54.7,85,1.7
15,1.9,0.37,0.19,0.2,14,14,65,62.5,86,1.8
15,1.9,0.34,0.16,-0.1,12,12,65,66.4,87,1.4
15,1.9,0.32,0.15,-0.1,7.7,7.6,61,65.1,87,1.3
15,1.9,0.33,0.13,0.6,11,12,55,57.3,87,1.2
15,1.9,0.34,0.12,0.6,13,13,55,52.1,88,1.9
